时间戳,设备ID,设备名称,AccX(g),AccY(g),AccZ(g),GyroX(°/s),GyroY(°/s),GyroZ(°/s),Roll(°),Pitch(°),Yaw(°),Q0,Q1,Q2,Q3
"2025-04-18T08:39:12.496Z",D7QjzXhqJL1jbjGTgZ+o+A==,"WT901BLE67",0.0576,0.0615,1.0078,0.00,0.06,0.00,3.56,-3.38,-10.62,0.994843,0.028168,-0.032288,-0.091492
"2025-04-18T08:39:12.849Z",d206T32MIdIunO20yZUSQQ==,"WT901BLE67",-0.0303,0.0332,1.0225,0.00,0.00,0.00,1.91,1.70,-128.72,0.432281,0.020538,-0.008575,-0.901398
"2025-04-18T08:39:12.911Z",Dw62CraX8yBcStMvzT57Iw==,"WT901BLE67",-0.6504,-0.7305,-0.0210,-0.18,0.79,2.87,-91.84,41.81,-178.34,0.265686,0.238495,0.674561,-0.646057
"2025-04-18T08:39:12.846Z",JOQ1+dSpo1egtinD1KjMoQ==,"WT901BLE67",-1.3179,-0.2637,0.0884,171.33,-86.18,-162.60,94.76,-34.83,-66.14,0.574005,0.605225,-0.469788,-0.288818
"2025-04-18T08:39:12.910Z",D7QjzXhqJL1jbjGTgZ+o+A==,"WT901BLE67",0.0615,0.0586,1.0103,-0.61,0.37,0.00,3.55,-3.39,-10.60,0.994843,0.028137,-0.032288,-0.091339
"2025-04-18T08:39:13.142Z",71bGpF6wIEHTfqUkTzvjXw==,"WT901BLE67",0.2759,0.0117,0.9829,0.12,8.30,0.67,0.71,-15.48,-63.02,0.845245,-0.064423,-0.117950,-0.517090
"2025-04-18T08:39:13.144Z",YLArYl5LjeLyNY/gXUHzyg==,"WT901BLE67",0.1265,-0.2759,0.9790,0.37,0.31,-0.12,-14.99,-7.42,97.71,0.657288,-0.037140,-0.140533,0.739410
"2025-04-18T08:39:13.209Z",JOQ1+dSpo1egtinD1KjMoQ==,"WT901BLE67",-1.1050,0.5337,-0.0664,-439.09,-102.97,67.57,-11.21,-1.20,-0.02,0.962891,-0.260773,-0.051697,0.045502
"2025-04-18T08:39:13.416Z",D7QjzXhqJL1jbjGTgZ+o+A==,"WT901BLE67",0.0552,0.0557,1.0098,-2.99,-1.59,0.00,3.44,-3.47,-10.60,0.994873,0.024719,-0.033905,-0.091583
"2025-04-18T08:39:13.535Z",Dw62CraX8yBcStMvzT57Iw==,"WT901BLE67",-0.6484,-0.7339,-0.0122,3.54,-2.14,-5.37,-91.41,41.52,-178.24,0.263702,0.237244,0.673004,-0.648956
