时间戳,设备ID,设备名称,AccX(g),AccY(g),AccZ(g),GyroX(°/s),GyroY(°/s),GyroZ(°/s),Roll(°),Pitch(°),Yaw(°),Q0,Q1,Q2,Q3
"2025-04-17T06:16:45.488Z",bak0EQ1249EhR2zo8jtPlA==,"WT901BLE67",0.7939,0.5952,0.2061,0.00,0.12,0.00,70.69,-51.41,8.26,0.714935,0.545349,-0.315277,0.303192
"2025-04-17T06:16:45.471Z",coMeIJiculHLY9tVdabqnA==,"WT901BLE67",0.0288,-0.0020,1.0234,-0.12,-0.06,-0.12,-0.16,-1.59,165.52,0.126007,0.013550,-0.003174,0.991882
"2025-04-17T06:16:45.541Z",EVoU4/j/V5+nc5YC16kNbQ==,"WT901BLE67",-0.0205,-0.0015,1.0122,-0.12,-0.31,0.00,-0.02,1.10,-115.42,0.534210,0.007996,0.005280,-0.845245
"2025-04-17T06:16:45.585Z",A4TCCCcOpH8j7oTmMud4gA==,"WT901BLE67",0.0205,-0.0244,1.0313,0.00,0.00,0.00,-1.37,-1.18,77.55,0.779510,-0.002869,-0.015472,0.626099
"2025-04-17T06:16:45.822Z",+UG3YJkPz/E5nyyWuZdCzQ==,"WT901BLE67",-0.0381,0.0073,1.0229,0.00,-0.18,0.06,-0.07,0.94,30.52,0.964722,-0.002716,0.007721,0.262970
"2025-04-17T06:16:45.938Z",bak0EQ1249EhR2zo8jtPlA==,"WT901BLE67",0.7930,0.5957,0.2090,0.00,0.12,0.00,70.69,-51.40,8.26,0.714966,0.545349,-0.315277,0.303131
"2025-04-17T06:16:45.901Z",n0oRagX4y0BAEER+B6AKug==,"WT901BLE67",-0.0083,-0.0596,1.0210,0.00,0.00,0.00,-3.79,0.43,-88.01,0.718872,-0.021149,0.025665,-0.694275
"2025-04-17T06:16:46.012Z",coMeIJiculHLY9tVdabqnA==,"WT901BLE67",0.0288,-0.0054,1.0264,0.06,0.18,-0.12,-0.16,-1.59,165.54,0.125824,0.013580,-0.003174,0.991913
"2025-04-17T06:16:46.025Z",EVoU4/j/V5+nc5YC16kNbQ==,"WT901BLE67",-0.0166,-0.0024,1.0137,-0.43,-0.61,0.00,-0.02,1.10,-115.38,0.534454,0.007965,0.005310,-0.845062
"2025-04-17T06:16:46.079Z",A4TCCCcOpH8j7oTmMud4gA==,"WT901BLE67",0.0137,-0.0269,1.0278,-0.12,-0.12,0.06,-1.37,-1.17,77.55,0.779510,-0.002899,-0.015472,0.626099
"2025-04-17T06:16:46.362Z",+UG3YJkPz/E5nyyWuZdCzQ==,"WT901BLE67",-0.0405,0.0020,1.0239,0.00,-0.12,0.12,-0.08,0.92,30.20,0.965454,-0.002747,0.007599,0.260193
"2025-04-17T06:16:46.430Z",bak0EQ1249EhR2zo8jtPlA==,"WT901BLE67",0.7915,0.5962,0.2114,0.00,0.12,0.00,70.69,-51.40,8.25,0.714966,0.545349,-0.315277,0.303101
"2025-04-17T06:16:46.381Z",n0oRagX4y0BAEER+B6AKug==,"WT901BLE67",-0.0024,-0.0615,1.0195,0.06,0.06,0.00,-3.78,0.43,-88.08,0.718475,-0.021118,0.025635,-0.694702
"2025-04-17T06:16:46.507Z",coMeIJiculHLY9tVdabqnA==,"WT901BLE67",0.0259,-0.0044,1.0244,-0.12,0.00,-0.12,-0.16,-1.59,165.55,0.125702,0.013550,-0.003113,0.991913
"2025-04-17T06:16:46.568Z",EVoU4/j/V5+nc5YC16kNbQ==,"WT901BLE67",-0.0151,0.0029,1.0132,-0.18,-0.37,0.00,-0.03,1.09,-115.34,0.534729,0.007935,0.005310,-0.844910
"2025-04-17T06:16:46.648Z",A4TCCCcOpH8j7oTmMud4gA==,"WT901BLE67",0.0166,-0.0298,1.0317,0.00,0.00,0.00,-1.36,-1.17,77.55,0.780212,-0.002869,-0.015503,0.625214
"2025-04-17T06:16:46.899Z",bak0EQ1249EhR2zo8jtPlA==,"WT901BLE67",0.7886,0.5962,0.2144,0.00,0.12,0.00,70.70,-51.40,8.25,0.714966,0.545349,-0.315308,0.303070
"2025-04-17T06:16:46.891Z",n0oRagX4y0BAEER+B6AKug==,"WT901BLE67",-0.0635,-0.0054,1.0352,1.59,1.83,0.85,-4.37,-0.06,-90.82,0.703461,-0.026489,0.029205,-0.709564
"2025-04-17T06:16:46.844Z",+UG3YJkPz/E5nyyWuZdCzQ==,"WT901BLE67",0.0483,-0.0098,1.1494,-211.91,-174.19,230.83,-17.87,8.45,57.91,0.803070,-0.242126,-0.027832,0.543640
"2025-04-17T06:16:46.935Z",coMeIJiculHLY9tVdabqnA==,"WT901BLE67",0.0342,-0.0044,1.0264,0.00,0.00,-0.18,-0.15,-1.58,165.56,0.125580,0.013550,-0.003082,0.991943
"2025-04-17T06:16:47.124Z",EVoU4/j/V5+nc5YC16kNbQ==,"WT901BLE67",0.0273,-0.0137,1.0127,-18.86,-3.23,-98.88,-1.53,0.25,-138.97,0.325623,-0.002808,0.016937,-0.945282
"2025-04-17T06:16:47.241Z",A4TCCCcOpH8j7oTmMud4gA==,"WT901BLE67",0.0542,-0.0400,1.0342,17.88,-23.56,50.29,1.59,-2.32,66.09,0.829651,0.050018,-0.014557,0.555756
"2025-04-17T06:16:47.356Z",+UG3YJkPz/E5nyyWuZdCzQ==,"WT901BLE67",-0.0220,-0.0400,1.3462,-12.15,5.55,-20.02,-0.62,-0.92,67.28,0.834045,-0.017639,-0.008331,0.551270
"2025-04-17T06:16:47.519Z",bak0EQ1249EhR2zo8jtPlA==,"WT901BLE67",0.9063,0.3486,0.4561,59.02,122.99,29.66,60.07,-59.42,12.24,0.721130,0.477966,-0.380249,0.326813
"2025-04-17T06:16:47.518Z",coMeIJiculHLY9tVdabqnA==,"WT901BLE67",0.0244,-0.0029,1.0220,-0.06,-0.06,-0.12,-0.15,-1.58,165.59,0.125427,0.013519,-0.003052,0.991943
"2025-04-17T06:16:47.518Z",n0oRagX4y0BAEER+B6AKug==,"WT901BLE67",-0.0127,-0.4399,0.9375,-31.01,-37.72,-11.78,-23.35,4.37,-100.12,0.636597,-0.112640,0.179230,-0.741486
"2025-04-17T06:16:47.602Z",EVoU4/j/V5+nc5YC16kNbQ==,"WT901BLE67",0.0303,-0.1230,1.0137,-51.15,-52.92,7.45,-7.04,-2.96,-152.70,0.230347,-0.061066,0.066833,-0.968842
"2025-04-17T06:16:47.698Z",A4TCCCcOpH8j7oTmMud4gA==,"WT901BLE67",0.1377,0.2480,0.9873,34.97,2.32,-10.31,17.49,-6.72,64.28,0.833069,0.173553,0.039276,0.523651
"2025-04-17T06:16:47.901Z",coMeIJiculHLY9tVdabqnA==,"WT901BLE67",0.0264,-0.0029,1.0229,-0.12,-0.06,-0.12,-0.15,-1.58,165.60,0.125305,0.013519,-0.003052,0.991974
"2025-04-17T06:16:47.912Z",n0oRagX4y0BAEER+B6AKug==,"WT901BLE67",0.0298,-0.4272,0.8760,-21.67,-23.74,-14.83,-30.33,-4.89,-104.28,0.577789,-0.200287,0.187439,-0.768616
"2025-04-17T06:16:48.101Z",bak0EQ1249EhR2zo8jtPlA==,"WT901BLE67",1.1592,0.8711,-0.0220,255.62,-403.93,149.96,49.59,-34.13,43.00,0.762299,0.470642,-0.100891,0.432587
"2025-04-17T06:16:47.954Z",+UG3YJkPz/E5nyyWuZdCzQ==,"WT901BLE67",-0.9014,-0.3389,0.3018,-4.52,-135.01,-18.43,-47.96,63.01,47.59,0.626343,-0.508514,0.278778,0.520844
"2025-04-17T06:16:47.934Z",EVoU4/j/V5+nc5YC16kNbQ==,"WT901BLE67",0.0698,-0.0498,1.0098,28.38,21.48,-0.67,-9.52,-9.29,-152.04,0.234741,-0.068054,0.040863,-0.968750
"2025-04-17T06:16:48.318Z",A4TCCCcOpH8j7oTmMud4gA==,"WT901BLE67",0.6929,0.7617,1.3867,173.46,-65.31,-24.84,24.80,-29.23,61.80,0.773926,0.329437,-0.076996,0.535217
"2025-04-17T06:16:48.535Z",+UG3YJkPz/E5nyyWuZdCzQ==,"WT901BLE67",-0.9282,-0.2319,-0.2725,-99.06,148.25,-106.99,-122.35,67.53,-16.00,0.378326,-0.771057,0.383850,0.338959
"2025-04-17T06:16:48.534Z",n0oRagX4y0BAEER+B6AKug==,"WT901BLE67",0.0762,-0.1929,1.0405,78.86,22.46,50.66,-8.73,-8.52,-136.64,0.374054,-0.081543,0.032776,-0.923187
"2025-04-17T06:16:48.645Z",bak0EQ1249EhR2zo8jtPlA==,"WT901BLE67",-0.5732,0.2202,0.9624,-92.65,401.00,-77.03,5.78,24.98,74.70,0.781677,-0.091919,0.201599,0.582886
"2025-04-17T06:16:48.535Z",EVoU4/j/V5+nc5YC16kNbQ==,"WT901BLE67",0.1123,-0.1113,1.0137,0.31,-16.42,125.73,0.26,-0.02,177.87,0.036774,-0.009186,-0.001770,-0.999237
"2025-04-17T06:16:48.798Z",coMeIJiculHLY9tVdabqnA==,"WT901BLE67",0.0269,-0.0015,1.0229,-0.06,0.00,-0.12,-0.15,-1.58,165.62,0.125122,0.013519,-0.002991,0.992004
"2025-04-17T06:16:48.913Z",A4TCCCcOpH8j7oTmMud4gA==,"WT901BLE67",-0.0137,-0.6563,0.2334,-1.34,170.90,-28.69,-58.60,16.75,76.11,0.645782,-0.483704,-0.165588,0.566986
"2025-04-17T06:16:49.158Z",bak0EQ1249EhR2zo8jtPlA==,"WT901BLE67",-0.5229,-0.0103,0.0459,-233.40,288.57,-127.75,-151.87,80.10,-108.27,0.614746,-0.308319,0.693329,0.214905
"2025-04-17T06:16:49.099Z",+UG3YJkPz/E5nyyWuZdCzQ==,"WT901BLE67",0.4219,-0.6143,-0.7788,-19.47,118.65,129.46,-145.99,-27.32,-130.61,-0.049011,-0.325317,0.875702,-0.353302
"2025-04-17T06:16:49.098Z",n0oRagX4y0BAEER+B6AKug==,"WT901BLE67",-0.2373,-0.6211,-0.1880,124.63,-771.73,282.59,-150.33,27.20,9.01,0.234436,-0.916870,0.003113,0.322906
"2025-04-17T06:16:49.157Z",coMeIJiculHLY9tVdabqnA==,"WT901BLE67",0.0273,-0.0029,1.0234,0.00,0.00,-0.12,-0.14,-1.58,165.64,0.124969,0.013519,-0.002991,0.992004
"2025-04-17T06:16:49.285Z",EVoU4/j/V5+nc5YC16kNbQ==,"WT901BLE67",-2.2778,-2.1665,-0.9814,-397.58,-0.18,492.61,177.92,40.07,-53.27,0.039276,-0.831055,0.461029,0.308441
"2025-04-17T06:16:49.462Z",A4TCCCcOpH8j7oTmMud4gA==,"WT901BLE67",0.0972,-0.4561,0.7593,65.86,102.84,-3.78,-52.43,18.89,48.14,0.797119,-0.467224,0.007416,0.382294
"2025-04-17T06:16:49.782Z",+UG3YJkPz/E5nyyWuZdCzQ==,"WT901BLE67",-0.1021,-1.0308,0.0068,-93.63,-157.84,-16.72,-93.30,-0.20,-124.04,0.340668,-0.423798,0.633636,-0.550201
"2025-04-17T06:16:49.739Z",EVoU4/j/V5+nc5YC16kNbQ==,"WT901BLE67",0.5698,0.3809,-1.0493,-24.48,-73.12,-109.01,157.76,-29.30,79.78,-0.024017,-0.741028,-0.585083,-0.328430
"2025-04-17T06:16:49.835Z",A4TCCCcOpH8j7oTmMud4gA==,"WT901BLE67",-0.4199,-0.8613,0.1870,-101.50,-72.20,46.88,-88.78,30.00,-14.88,0.670349,-0.672699,0.272583,0.153931
"2025-04-17T06:16:50.038Z",bak0EQ1249EhR2zo8jtPlA==,"WT901BLE67",-0.7847,-0.2725,0.3013,-132.63,-41.14,124.57,-40.40,76.49,14.64,0.703705,-0.343048,0.541626,0.305969
"2025-04-17T06:16:49.900Z",coMeIJiculHLY9tVdabqnA==,"WT901BLE67",-0.2959,0.5869,0.9844,0.06,11.54,-117.74,-0.71,-3.07,156.94,0.269684,0.030426,-0.015472,0.962280
"2025-04-17T06:16:50.037Z",n0oRagX4y0BAEER+B6AKug==,"WT901BLE67",-0.2188,0.4258,-0.5259,-50.42,42.11,29.36,168.36,2.14,117.63,-0.046173,-0.524078,-0.845581,-0.089844
"2025-04-17T06:16:50.392Z",n0oRagX4y0BAEER+B6AKug==,"WT901BLE67",0.1548,-0.7900,0.6914,544.31,337.59,-133.79,-48.18,19.06,123.25,0.428986,-0.392822,-0.107422,0.806244
"2025-04-17T06:16:50.477Z",bak0EQ1249EhR2zo8jtPlA==,"WT901BLE67",-0.7759,0.4824,-0.6675,134.46,59.51,-159.36,13.95,79.99,117.22,0.462646,-0.496124,0.411652,0.608490
"2025-04-17T06:16:50.393Z",+UG3YJkPz/E5nyyWuZdCzQ==,"WT901BLE67",0.9814,-0.7153,-0.1606,-22.40,124.63,32.41,-103.67,-6.01,-69.48,0.450500,-0.637665,0.469055,-0.412659
"2025-04-17T06:16:50.727Z",coMeIJiculHLY9tVdabqnA==,"WT901BLE67",1.6421,-0.2729,-0.8320,82.76,75.38,-384.22,-159.37,-3.98,-113.12,0.031067,-0.670441,0.716400,-0.190277
